,img_path
0,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg
1,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
2,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
3,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg
4,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg
5,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
6,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
7,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
8,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
9,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg
10,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg
11,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
12,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg
13,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg
14,002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg
15,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg
16,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg
17,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg
18,002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg
19,002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg
20,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg
21,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg
22,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg
23,002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg
24,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg
25,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg
26,003.Sooty_Albatross/Sooty_Albatross_0013_796402.jpg
27,003.Sooty_Albatross/Sooty_Albatross_0014_796373.jpg
28,003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg
29,003.Sooty_Albatross/Sooty_Albatross_0021_796339.jpg
30,003.Sooty_Albatross/Sooty_Albatross_0022_796398.jpg
31,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg
32,003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg
33,003.Sooty_Albatross/Sooty_Albatross_0076_796365.jpg
34,003.Sooty_Albatross/Sooty_Albatross_0079_796389.jpg
35,004.Groove_billed_Ani/Groove_Billed_Ani_0006_1763.jpg
36,004.Groove_billed_Ani/Groove_Billed_Ani_0012_1784.jpg
37,004.Groove_billed_Ani/Groove_Billed_Ani_0040_1715.jpg
38,004.Groove_billed_Ani/Groove_Billed_Ani_0046_1663.jpg
39,004.Groove_billed_Ani/Groove_Billed_Ani_0047_1706.jpg
40,004.Groove_billed_Ani/Groove_Billed_Ani_0059_1480.jpg
41,004.Groove_billed_Ani/Groove_Billed_Ani_0061_1510.jpg
42,004.Groove_billed_Ani/Groove_Billed_Ani_0072_1696.jpg
43,004.Groove_billed_Ani/Groove_Billed_Ani_0074_1730.jpg
44,004.Groove_billed_Ani/Groove_Billed_Ani_0076_1661.jpg
45,004.Groove_billed_Ani/Groove_Billed_Ani_0078_1780.jpg
46,004.Groove_billed_Ani/Groove_Billed_Ani_0080_1549.jpg
47,004.Groove_billed_Ani/Groove_Billed_Ani_0088_1678.jpg
48,004.Groove_billed_Ani/Groove_Billed_Ani_0091_1728.jpg
49,004.Groove_billed_Ani/Groove_Billed_Ani_0105_1562.jpg
50,005.Crested_Auklet/Crested_Auklet_0005_794922.jpg
51,005.Crested_Auklet/Crested_Auklet_0021_794938.jpg
52,005.Crested_Auklet/Crested_Auklet_0028_794951.jpg
53,005.Crested_Auklet/Crested_Auklet_0029_1824.jpg
54,005.Crested_Auklet/Crested_Auklet_0036_794905.jpg
55,005.Crested_Auklet/Crested_Auklet_0045_794940.jpg
56,005.Crested_Auklet/Crested_Auklet_0068_785253.jpg
57,005.Crested_Auklet/Crested_Auklet_0070_785261.jpg
58,005.Crested_Auklet/Crested_Auklet_0072_785260.jpg
59,005.Crested_Auklet/Crested_Auklet_0074_794949.jpg
60,005.Crested_Auklet/Crested_Auklet_0076_785252.jpg
61,006.Least_Auklet/Least_Auklet_0004_795112.jpg
62,006.Least_Auklet/Least_Auklet_0010_795092.jpg
63,006.Least_Auklet/Least_Auklet_0011_795109.jpg
64,006.Least_Auklet/Least_Auklet_0012_795074.jpg
65,006.Least_Auklet/Least_Auklet_0016_1903.jpg
66,006.Least_Auklet/Least_Auklet_0035_1888.jpg
67,006.Least_Auklet/Least_Auklet_0038_795132.jpg
68,006.Least_Auklet/Least_Auklet_0039_795081.jpg
69,006.Least_Auklet/Least_Auklet_0042_1874.jpg
70,006.Least_Auklet/Least_Auklet_0060_795095.jpg
71,007.Parakeet_Auklet/Parakeet_Auklet_0017_795924.jpg
72,007.Parakeet_Auklet/Parakeet_Auklet_0020_795947.jpg
73,007.Parakeet_Auklet/Parakeet_Auklet_0025_795975.jpg
74,007.Parakeet_Auklet/Parakeet_Auklet_0031_795960.jpg
75,007.Parakeet_Auklet/Parakeet_Auklet_0035_795934.jpg
76,007.Parakeet_Auklet/Parakeet_Auklet_0039_795955.jpg
77,007.Parakeet_Auklet/Parakeet_Auklet_0042_795961.jpg
78,007.Parakeet_Auklet/Parakeet_Auklet_0047_795956.jpg
79,007.Parakeet_Auklet/Parakeet_Auklet_0056_795926.jpg
80,007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg
81,007.Parakeet_Auklet/Parakeet_Auklet_0070_795998.jpg
82,007.Parakeet_Auklet/Parakeet_Auklet_0075_795981.jpg
83,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0003_797535.jpg
84,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0008_797531.jpg
85,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0009_797539.jpg
86,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0010_797545.jpg
87,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0017_2155.jpg
88,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0020_2195.jpg
89,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0022_2170.jpg
90,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0023_797501.jpg
91,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0025_797508.jpg
92,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0027_797496.jpg
93,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0031_797518.jpg
94,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0032_797516.jpg
95,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0034_797497.jpg
96,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0040_797503.jpg
97,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0042_2101.jpg
98,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0051_797510.jpg
99,009.Brewer_Blackbird/Brewer_Blackbird_0012_2691.jpg
100,009.Brewer_Blackbird/Brewer_Blackbird_0015_2286.jpg
101,009.Brewer_Blackbird/Brewer_Blackbird_0042_2302.jpg
102,009.Brewer_Blackbird/Brewer_Blackbird_0054_2631.jpg
103,009.Brewer_Blackbird/Brewer_Blackbird_0061_2270.jpg
104,009.Brewer_Blackbird/Brewer_Blackbird_0087_2622.jpg
105,009.Brewer_Blackbird/Brewer_Blackbird_0090_2658.jpg
106,009.Brewer_Blackbird/Brewer_Blackbird_0116_2327.jpg
107,009.Brewer_Blackbird/Brewer_Blackbird_0132_2293.jpg
108,009.Brewer_Blackbird/Brewer_Blackbird_0135_2607.jpg
109,009.Brewer_Blackbird/Brewer_Blackbird_0137_2680.jpg
110,010.Red_winged_Blackbird/Red_Winged_Blackbird_0005_5636.jpg
111,010.Red_winged_Blackbird/Red_Winged_Blackbird_0009_5841.jpg
112,010.Red_winged_Blackbird/Red_Winged_Blackbird_0012_6015.jpg
113,010.Red_winged_Blackbird/Red_Winged_Blackbird_0072_4338.jpg
114,010.Red_winged_Blackbird/Red_Winged_Blackbird_0089_4188.jpg
115,010.Red_winged_Blackbird/Red_Winged_Blackbird_0094_5856.jpg
116,010.Red_winged_Blackbird/Red_Winged_Blackbird_0096_5019.jpg
117,011.Rusty_Blackbird/Rusty_Blackbird_0005_6771.jpg
118,011.Rusty_Blackbird/Rusty_Blackbird_0015_6885.jpg
119,011.Rusty_Blackbird/Rusty_Blackbird_0016_6684.jpg
120,011.Rusty_Blackbird/Rusty_Blackbird_0017_6755.jpg
121,011.Rusty_Blackbird/Rusty_Blackbird_0020_6679.jpg
122,011.Rusty_Blackbird/Rusty_Blackbird_0022_6808.jpg
123,011.Rusty_Blackbird/Rusty_Blackbird_0023_6752.jpg
124,011.Rusty_Blackbird/Rusty_Blackbird_0027_6593.jpg
125,011.Rusty_Blackbird/Rusty_Blackbird_0033_6879.jpg
126,011.Rusty_Blackbird/Rusty_Blackbird_0052_7035.jpg
127,011.Rusty_Blackbird/Rusty_Blackbird_0074_6585.jpg
128,011.Rusty_Blackbird/Rusty_Blackbird_0075_6717.jpg
129,011.Rusty_Blackbird/Rusty_Blackbird_0087_6727.jpg
130,011.Rusty_Blackbird/Rusty_Blackbird_0092_2727.jpg
131,011.Rusty_Blackbird/Rusty_Blackbird_0094_6582.jpg
132,011.Rusty_Blackbird/Rusty_Blackbird_0096_6846.jpg
133,011.Rusty_Blackbird/Rusty_Blackbird_0101_6880.jpg
134,011.Rusty_Blackbird/Rusty_Blackbird_0108_6867.jpg
135,011.Rusty_Blackbird/Rusty_Blackbird_0112_3415.jpg
136,011.Rusty_Blackbird/Rusty_Blackbird_0114_6760.jpg
137,011.Rusty_Blackbird/Rusty_Blackbird_0120_6762.jpg
138,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0007_8366.jpg
139,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0008_8756.jpg
140,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0026_8545.jpg
141,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0034_7736.jpg
142,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0035_8447.jpg
143,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0042_8574.jpg
144,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0047_7929.jpg
145,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0073_8442.jpg
146,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0080_8601.jpg
147,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0082_8577.jpg
148,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0087_8358.jpg
149,012.Yellow_headed_Blackbird/Yellow_Headed_Blackbird_0098_8367.jpg
150,013.Bobolink/Bobolink_0001_9261.jpg
151,013.Bobolink/Bobolink_0008_9289.jpg
152,013.Bobolink/Bobolink_0039_9779.jpg
153,013.Bobolink/Bobolink_0040_9681.jpg
154,013.Bobolink/Bobolink_0043_10607.jpg
155,013.Bobolink/Bobolink_0057_10051.jpg
156,013.Bobolink/Bobolink_0064_10092.jpg
157,013.Bobolink/Bobolink_0067_11533.jpg
158,013.Bobolink/Bobolink_0070_10624.jpg
159,013.Bobolink/Bobolink_0076_11093.jpg
160,013.Bobolink/Bobolink_0079_10736.jpg
161,013.Bobolink/Bobolink_0124_10182.jpg
162,013.Bobolink/Bobolink_0131_9578.jpg
163,014.Indigo_Bunting/Indigo_Bunting_0015_12632.jpg
164,014.Indigo_Bunting/Indigo_Bunting_0024_13523.jpg
165,014.Indigo_Bunting/Indigo_Bunting_0026_11964.jpg
166,014.Indigo_Bunting/Indigo_Bunting_0060_14495.jpg
167,014.Indigo_Bunting/Indigo_Bunting_0063_11820.jpg
168,014.Indigo_Bunting/Indigo_Bunting_0068_13081.jpg
169,015.Lazuli_Bunting/Lazuli_Bunting_0008_15195.jpg
170,015.Lazuli_Bunting/Lazuli_Bunting_0010_14915.jpg
171,015.Lazuli_Bunting/Lazuli_Bunting_0014_14824.jpg
172,015.Lazuli_Bunting/Lazuli_Bunting_0031_15018.jpg
